"","D1","D2"
"Legislator 127",-1.74766629995244,-0.388028878418772
"Legislator 128",0.350698582006219,-0.797740707936743
"Legislator 129",-0.140919243586806,-0.159305820043695
"Legislator 130",-0.885881390680018,0.377961493810328
"Legislator 131",1.12893892070221,0.883817028951502
"Legislator 132",-0.965895792474222,0.644027649934389
"Legislator 133",0.0915065131510385,1.13863948779194
"Legislator 134",1.04888257956387,-0.0477662619986731
"Legislator 135",1.35453913243783,1.31635355451505
"Legislator 136",1.39139962199498,1.19776323706045
"Legislator 137",1.11664767195222,1.19542481427814
"Legislator 138",-0.552767247497548,-0.138918466324197
"Legislator 139",-0.591848595446452,0.110339472996268
"Legislator 140",-0.185593435030427,-0.154230216257748
"Legislator 141",1.36168367510258,0.719775305626759
"Legislator 142",1.67820083159099,1.31901307864377
"Legislator 143",-0.436963549646595,-0.0462637513408838
"Legislator 144",0.659658147092327,0.267627616079851
"Legislator 145",-0.5853252050608,0.866900351794723
"Legislator 146",1.02172166932531,0.133585200386449
"Legislator 147",-1.44313307944344,0.489063841312361
"Legislator 148",-0.0430841890719226,-0.947684716812404
"Legislator 149",0.0514551308296965,-0.76444726745252
"Legislator 150",-1.12571945023439,1.47842965859906
"Legislator 151",1.62070916362594,-0.0694274869390507
"Legislator 152",1.88361623547359,1.28642940941925
"Legislator 153",-0.582322173985205,-1.21362386452818
"Legislator 154",-1.83950923121041,1.48848530317935
"Legislator 155",1.00303877522599,0.0895255289486881
"Legislator 156",-0.0439259747324812,-0.0568153105121711
"Legislator 157",-0.0357240882709587,-0.496970303876954
"Legislator 158",0.0873460557151148,-0.49240598877652
"Legislator 159",0.111575548472353,-0.594142412962863
"Legislator 160",0.657762314141702,1.70145621399423
"Legislator 161",0.787629816686683,1.89150638461629
"Legislator 162",0.266566996893557,-1.0306137427637
"Legislator 163",0.0691357338362557,-0.0105819725189204
"Legislator 164",-0.128286876549838,-1.56080430457381
"Legislator 165",0.701315708518566,-1.60845867511493
"Legislator 166",-0.344862348381843,1.54628196948874
"Legislator 167",1.49878377260519,1.07077001687926
"Legislator 168",-0.924022404626195,1.71861645029216
"Legislator 169",0.752698504216622,1.07335259554821
"Legislator 170",1.02274651766969,1.26110807010015
"Legislator 171",-0.362091062860621,1.01760524344922
"Legislator 172",0.448298941420886,-1.79488988569346
"Legislator 173",0.0059663056937386,-2.01144852017659
"Legislator 174",1.78558039024524,0.52955771988563
"Legislator 175",-1.319365140114,0.502239768969114
"Legislator 176",-1.02689637830214,0.513133545687635
"Legislator 177",1.64386191261607,0.289809757966747
"Legislator 178",-0.812528943797998,0.335819764662256
"Legislator 179",-0.412118359392533,0.175559044098534
"Legislator 180",-0.381517907407621,-0.0837106908287295
"Legislator 181",0.891692103234942,0.221112335394261
"Legislator 182",1.38256000426208,1.11373261117815
"Legislator 183",0.97780659330812,0.652941798999296
"Legislator 184",1.24700360049811,-0.206852634941598
"Legislator 185",0.565091066023851,1.03998741540043
"Legislator 186",1.53460392315082,0.0292142764827693
"Legislator 187",-0.490045342564755,-1.64905990063643
"Legislator 188",-1.03705604080839,1.31225717627359
"Legislator 189",0.0127098237600011,0.14165624543403
"Legislator 190",1.48018449090527,1.3956300057735
"Legislator 191",0.857232840253198,0.726318544358234
"Legislator 192",-1.08419231256324,0.189837871603222
"Legislator 193",-0.988898860246928,-1.12558789700849
"Legislator 194",-0.350993878853149,-0.371341175157507
"Legislator 195",-1.43848365547091,1.80729920237595
"Legislator 196",0.189412313113253,-0.863080648841708
"Legislator 197",1.56421512454645,0.40949978714191
"Legislator 198",-1.31328487345261,1.0207238081889
"Legislator 199",-0.660399641375826,0.596159861851382
"Legislator 200",1.58224146109683,-0.33500067762055
"Legislator 201",-0.252702471905802,-0.617940887272439
"Legislator 202",-1.12521286606913,2.1618439467673
"Legislator 203",-1.96833929429463,0.40821335959256
"Legislator 204",-0.0556644490443401,-0.128015204745685
"Legislator 205",0.460915498570852,-1.08592269131058
"Legislator 206",-0.198039382361984,0.0163029812028019
"Legislator 207",1.2857606482364,0.9277465181563
"Legislator 208",1.71471280595587,1.1080210125385
"Legislator 209",0.929753289060035,0.517714942299773
"Legislator 210",1.4737006392194,0.7633830939337
"Legislator 211",0.836465569772548,1.13823487731814
"Legislator 212",1.39248085266624,1.42362293662706
"Legislator 213",0.581363158562919,1.54978585850101
"Legislator 214",0.726027048389346,0.224286109540266
