,Dataset,Datatype,Train Set,Train Sparsity,Evaluation Set,Evaluation Sparsity,Embedding Method,Prediction Method,Task,Accuracy,RMSE
100,Smartvote,Binary,Train,20,Train,20,IDEAL,IRT,Impute,0.8189066995478833,0.3556379151002637
101,Smartvote,Binary,Train,20,Train,20,IDEAL,IRT,Overall,0.8267488697081793,0.34505813821075826
102,Smartvote,Original,Train,20,Test,20,IDEAL,IRT,Fit,0.8380459770114943,0.2640868235494483
103,Smartvote,Original,Train,20,Test,20,IDEAL,IRT,Impute,0.8227586206896551,0.2739033421781258
104,Smartvote,Original,Train,20,Test,20,IDEAL,IRT,Overall,0.8349885057471266,0.2660501272751838
105,Smartvote,Binary,Train,20,Test,20,IDEAL,IRT,Fit,0.8380459770114943,0.33882932966493245
106,Smartvote,Binary,Train,20,Test,20,IDEAL,IRT,Impute,0.8227586206896551,0.35265968292814703
107,Smartvote,Binary,Train,20,Test,20,IDEAL,IRT,Overall,0.8349885057471266,0.34159540031757535
108,Smartvote,Original,Train,0,Train,0,IDEAL,IRT,Fit,0.8281545417180436,0.2684807998059117
109,Smartvote,Original,Train,0,Train,0,IDEAL,IRT,Impute,,
110,Smartvote,Original,Train,0,Train,0,IDEAL,IRT,Overall,0.8281545417180436,0.2684807998059117
111,Smartvote,Binary,Train,0,Train,0,IDEAL,IRT,Fit,0.8281545417180436,0.34338972100015447
112,Smartvote,Binary,Train,0,Train,0,IDEAL,IRT,Impute,,
113,Smartvote,Binary,Train,0,Train,0,IDEAL,IRT,Overall,0.8281545417180436,0.34338972100015447
114,Smartvote,Original,Train,0,Test,20,IDEAL,IRT,Fit,0.8389655172413792,0.2638925790564407
115,Smartvote,Original,Train,0,Test,20,IDEAL,IRT,Impute,0.8245977011494253,0.27330614600580955
116,Smartvote,Original,Train,0,Test,20,IDEAL,IRT,Overall,0.8360919540229885,0.2657752924463145
117,Smartvote,Binary,Train,0,Test,20,IDEAL,IRT,Fit,0.8389655172413792,0.33874445726938507
118,Smartvote,Binary,Train,0,Test,20,IDEAL,IRT,Impute,0.8245977011494253,0.3524077165108393
119,Smartvote,Binary,Train,0,Test,20,IDEAL,IRT,Overall,0.8360919540229885,0.3414771091176759
120,Smartvote,Original,Train,0,Test,30,IDEAL,IRT,Fit,0.8402732595966168,0.26492006398291723
121,Smartvote,Original,Train,0,Test,30,IDEAL,IRT,Impute,0.8197492163009404,0.2737225056579426
122,Smartvote,Original,Train,0,Test,30,IDEAL,IRT,Overall,0.8342528735632184,0.2675021135409247
123,Smartvote,Binary,Train,0,Test,30,IDEAL,IRT,Fit,0.8402732595966168,0.3392955790008785
124,Smartvote,Binary,Train,0,Test,30,IDEAL,IRT,Impute,0.8197492163009404,0.352335281651933
125,Smartvote,Binary,Train,0,Test,30,IDEAL,IRT,Overall,0.8342528735632184,0.3431205584451878
126,Smartvote,Original,Train,0,Test,40,IDEAL,IRT,Fit,0.8444444444444444,0.26088607350298604
