"","D1","D2"
"Legislator 40",1.43569321620922,-0.0539791752557104
"Legislator 41",-0.551809786705666,-1.65012510892282
"Legislator 42",0.0941965318651132,-0.101027656866635
"Legislator 43",1.7289302342796,-0.321448825497958
"Legislator 44",1.53267463259377,0.117050721441129
"Legislator 45",-0.0123654409993802,1.04313842462284
"Legislator 46",-0.237639343247326,-0.703657545630369
"Legislator 47",1.4515469232622,0.277282446340785
"Legislator 48",1.28874860338513,0.02659568152133
"Legislator 49",1.72285493476092,0.0103180572176602
"Legislator 50",1.33003083667672,-0.536111325067878
"Legislator 51",-0.632495559376171,-0.28073518131882
"Legislator 52",-0.290053283609791,0.447044773665537
"Legislator 53",-0.30558192799714,-0.191236806949126
"Legislator 54",0.107143273186072,0.289055211220223
"Legislator 55",-0.323922828157314,0.66749515820105
"Legislator 56",1.02895330041563,-0.867901509081839
"Legislator 57",1.72033043651912,-0.495716060199012
"Legislator 58",-0.991210020203412,1.88887125352971
"Legislator 59",-1.46747923142076,-0.610735024484887
"Legislator 60",-0.68817787163596,1.50062283932338
"Legislator 61",1.35781247643665,-0.938094571356179
"Legislator 62",1.42999568005536,0.715449323979747
"Legislator 63",0.692333839964336,-0.0359009543198119
"Legislator 64",1.55157068184212,-1.13121256594685
"Legislator 65",-0.614418320575746,-0.171686324336372
"Legislator 66",0.00898916985791614,-0.355394488468928
"Legislator 67",1.45216388381591,0.306074187255111
"Legislator 68",0.213289771720317,-0.181893595372247
"Legislator 69",2.20667192019222,-0.888869214160206
"Legislator 70",0.75997548004495,-0.680619287027168
"Legislator 71",1.87761083687462,-0.484864907863894
"Legislator 72",-0.167823947142105,-0.552030582863746
"Legislator 73",-0.20190823264856,-0.599002069920244
"Legislator 74",-0.313870531533107,0.794648093973243
"Legislator 75",0.343387729055794,-0.774028351778099
"Legislator 76",1.02963036134667,0.0195405509484182
"Legislator 77",-0.00173575951320748,0.100638936833023
"Legislator 78",-0.583367602002131,1.88982950771585
"Legislator 79",-0.381736199681186,0.363758008973557
"Legislator 80",-0.218668745084232,0.902819568858733
"Legislator 81",-1.23108517145418,-0.669113713795097
"Legislator 82",0.479318478009329,-0.287128897027212
"Legislator 83",-0.222156575368984,-0.221626867130551
"Legislator 84",-0.937489122758168,-0.679706437725265
"Legislator 85",0.00336909609874131,1.37789035965466
"Legislator 86",-1.23418080986135,-0.990211539239094
"Legislator 87",-0.292639899932461,0.568784990499484
"Legislator 88",1.14777351543854,0.662613084287295
"Legislator 89",0.663962633122108,-1.15095053594259
"Legislator 90",1.05834970553041,-0.596426048202958
"Legislator 91",-0.60466730326918,-0.296055067924186
"Legislator 92",2.20595400276538,0.108397530374378
"Legislator 93",1.04670933122662,-0.671463356456538
"Legislator 94",-0.876013432838659,-1.42721793570107
"Legislator 95",-1.27279685210514,0.942994592176384
"Legislator 96",-0.742213692484397,0.317210274135704
"Legislator 97",-0.0887884300471523,0.542267128051348
"Legislator 98",1.80531329224345,-0.109258813456648
"Legislator 99",1.93229933719259,0.44018838535129
"Legislator 100",-1.99074130310682,-0.0532330963843372
