"","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"Legislator 1331","SVP",20,7,12,21,0.5804363489151,0.683333333333333,-0.323746800422668,-0.559949278831482,0,0,0
"Legislator 1332","SVP",17,8,7,28,0.58638060092926,0.75,-0.452919840812683,-0.681925475597382,0,0,0
"Legislator 1333","SVP",18,3,19,20,0.517840087413788,0.633333333333333,-0.299616754055023,-0.761154890060425,0,0,0
"Legislator 1334","SVP",20,5,6,29,0.652473568916321,0.816666666666667,-0.416713953018188,-0.491791307926178,0,0,0
"Legislator 1335","FDP",13,17,10,20,0.485637009143829,0.55,-0.207679837942123,-0.271911978721619,0,0,0
"Legislator 1336","glp",31,10,5,14,0.584341883659363,0.75,-0.0375706255435944,-0.215334311127663,0,0,0
"Legislator 1337","Grüne",34,5,4,17,0.762500643730164,0.85,0.347480952739716,0.164024502038956,0,0,0
"Legislator 1338","SVP",20,5,11,24,0.593870580196381,0.733333333333333,-0.360551476478577,-0.544210493564606,0,0,0
"Legislator 1339","BDP",31,4,6,19,0.6883265376091,0.833333333333333,0.206568002700806,-0.456193268299103,0,0,0
"Legislator 1340","Grüne",37,2,4,17,0.830530047416687,0.9,0.340913742780685,0.0760501250624657,0,0,0
"Legislator 1341","FDP",22,11,5,22,0.570612072944641,0.733333333333333,-0.157501921057701,0.459881573915482,0,0,0
"Legislator 1342","Grüne",34,2,0,24,0.912208259105682,0.966666666666667,0.606425046920776,-0.54886519908905,0,0,0
"Legislator 1343","BDP",33,3,5,19,0.686411738395691,0.866666666666667,-0.0892424806952477,0.51658284664154,0,0,0
"Legislator 1344","BDP",30,11,5,14,0.618798077106476,0.733333333333333,-0.0397181883454323,0.0309195909649134,0,0,0
"Legislator 1345","BDP",23,10,5,22,0.601697862148285,0.75,-0.19369338452816,0.0433020927011967,0,0,0
"Legislator 1346","BDP",20,14,9,17,0.527473270893097,0.616666666666667,-0.133258894085884,-0.256360590457916,0,0,0
"Legislator 1347","Grüne",31,3,0,26,0.886730015277863,0.95,0.644377589225769,-0.678782343864441,0,0,0
"Legislator 1348","glp",34,6,6,14,0.687783598899841,0.8,0.187292262911797,0.0325341485440731,0,0,0
"Legislator 1349","Grüne",20,12,8,20,0.547236263751984,0.666666666666667,-0.0996005088090897,-0.995027482509613,0,0,0
"Legislator 1350","FDP",26,10,4,20,0.647943317890167,0.766666666666667,-0.0839304253458977,0.548512876033783,0,0,0
"Legislator 1351","FDP",25,6,8,21,0.596733331680298,0.766666666666667,-0.269644916057587,-0.223558276891708,0,0,0
"Legislator 1352","Grüne",32,2,1,25,0.861854434013367,0.95,0.767627000808716,-0.395681291818619,0,0,0
"Legislator 1353","CVP",22,11,6,21,0.55000638961792,0.716666666666667,-0.0347514040768147,-0.556281983852386,0,0,0
"Legislator 1354","CVP",23,11,5,21,0.612178981304169,0.733333333333333,-0.0239820927381516,-0.665955185890198,0,0,0
"Legislator 1355","CVP",20,11,5,24,0.622267723083496,0.733333333333333,-0.126016452908516,-0.524664580821991,0,0,0
"Legislator 1356","CVP",29,4,7,20,0.638610780239105,0.816666666666667,0.0832221880555153,-0.631117522716522,0,0,0
"Legislator 1357","CVP",24,9,2,25,0.61476743221283,0.816666666666667,-0.0817835628986359,-0.175986707210541,0,0,0
"Legislator 1358","SP",27,5,4,24,0.702307939529419,0.85,0.166761085391045,-0.96367484331131,0,0,0
"Legislator 1359","SP",33,2,0,25,0.894485592842102,0.966666666666667,0.678986430168152,-0.663942873477936,0,0,0
"Legislator 1360","SP",36,2,1,21,0.819146752357483,0.95,0.330449819564819,0.0249856896698475,0,0,0
"Legislator 1361","SVP",23,2,2,33,0.816562712192535,0.933333333333333,-0.874106884002686,-0.0693788304924965,0,0,0
"Legislator 1362","SVP",21,5,7,27,0.640793979167938,0.8,-0.45260563492775,0.00575814722105861,0,0,0
"Legislator 1363","glp",22,10,5,23,0.608159244060516,0.75,-0.0065744835883379,-0.999978423118591,0,0,0
"Legislator 1364","glp",37,3,1,19,0.763594210147858,0.933333333333333,0.0269494708627462,0.459644377231598,0,0,0
"Legislator 1365","glp",39,3,4,14,0.742183208465576,0.883333333333333,0.11711086332798,0.391900837421417,0,0,0
"Legislator 1366","glp",35,5,1,19,0.731981337070465,0.9,-0.0113347498700023,0.64653491973877,0,0,0
"Legislator 1367","CVP",28,12,7,13,0.545717537403107,0.683333333333333,-0.0381914041936398,-0.139048203825951,0,0,0
"Legislator 1368","CVP",17,8,4,31,0.615360856056213,0.8,-0.148090988397598,-0.576834678649902,0,0,0
"Legislator 1369","Grüne",29,5,3,23,0.734020173549652,0.866666666666667,0.435661524534225,-0.178788766264915,0,0,0
"Legislator 1370","SP",35,3,2,20,0.839662551879883,0.916666666666667,0.491117924451828,0.0235342290252447,0,0,0
"Legislator 1371","FDP",20,7,10,23,0.59740823507309,0.716666666666667,-0.257033377885818,0.457867950201035,0,0,0
"Legislator 1372","SP",35,6,1,18,0.752383470535278,0.883333333333333,0.186581209301949,0.120498538017273,0,0,0
"Legislator 1373","SP",32,4,3,21,0.722647666931152,0.883333333333333,0.468529611825943,-0.365622669458389,0,0,0
"Legislator 1374","SP",30,4,3,23,0.77422696352005,0.883333333333333,0.369237214326859,-0.492251545190811,0,0,0
"Legislator 1375","SVP",19,3,6,32,0.671878635883331,0.85,-0.53577321767807,0.00878789648413658,0,0,0
"Legislator 1376","SVP",12,12,6,30,0.544122576713562,0.7,-0.366384088993073,-0.580330967903137,0,0,0
"Legislator 1377","glp",30,9,2,19,0.653349995613098,0.816666666666667,0.0527557991445065,0.148908466100693,0,0,0
"Legislator 1378","glp",33,7,5,15,0.68298614025116,0.8,-0.0289640780538321,0.362719058990479,0,0,0
"Legislator 1379","SP",33,6,2,19,0.76798003911972,0.866666666666667,0.258481472730637,-0.200621366500854,0,0,0
"Legislator 1380","Grüne",34,0,5,21,0.772460162639618,0.916666666666667,0.244136691093445,-0.354304045438766,0,0,0
"Legislator 1381","BDP",33,7,9,11,0.59872967004776,0.733333333333333,-0.0546028465032578,-0.167281359434128,0,0,0
"Legislator 1382","BDP",28,11,7,14,0.577697396278381,0.7,-0.0256724301725626,-0.240629240870476,0,0,0
"Legislator 1383","SP",35,2,8,15,0.757157444953918,0.833333333333333,0.443676620721817,-0.241133883595467,0,0,0
"Legislator 1384","SP",34,4,3,19,0.794337451457977,0.883333333333333,0.432358264923096,-0.411848485469818,0,0,0
"Legislator 1385","CVP",27,8,2,23,0.62323808670044,0.833333333333333,-0.0907320156693459,-0.290929347276688,0,0,0
"Legislator 1386","BDP",29,8,4,19,0.626810669898987,0.8,-0.124632187187672,0.24916136264801,0,0,0
"Legislator 1387","Grüne",33,2,2,23,0.836571574211121,0.933333333333333,0.721616804599762,-0.400206595659256,0,0,0
"Legislator 1388","SVP",22,4,6,28,0.733670890331268,0.833333333333333,-0.504182815551758,-0.0142378248274326,0,0,0
"Legislator 1389","Grüne",31,3,3,23,0.773267328739166,0.9,0.360523402690887,-0.284084230661392,0,0,0
"Legislator 1390","Grüne",33,2,2,23,0.87530243396759,0.933333333333333,0.750020623207092,-0.661414504051208,0,0,0
"Legislator 1391","glp",34,10,5,11,0.581490635871887,0.75,0.0725787058472633,0.12698632478714,0,0,0
"Legislator 1392","glp",34,4,2,20,0.742015480995178,0.9,-0.0578336231410503,0.683621764183044,0,0,0
"Legislator 1393","BDP",36,10,4,10,0.605088651180267,0.766666666666667,0.0507615618407726,0.134718000888824,0,0,0
"Legislator 1394","BDP",30,7,11,12,0.536292254924774,0.7,-0.00888610444962978,-0.429097592830658,0,0,0
"Legislator 1395","Grüne",37,2,1,20,0.899097681045532,0.95,0.758826792240143,-0.651292562484741,0,0,0
"Legislator 1396","CVP",19,6,4,31,0.666886448860168,0.833333333333333,-0.251462638378143,0.132141083478928,0,0,0
"Legislator 1397","CVP",26,8,10,16,0.575920701026917,0.7,-0.0319619327783585,-0.32534059882164,0,0,0
"Legislator 1398","FDP",21,9,10,20,0.576342880725861,0.683333333333333,-0.173511371016502,0.0993781685829163,0,0,0
"Legislator 1399","CVP",35,9,1,15,0.711392641067505,0.833333333333333,0.0622091740369797,0.0172496568411589,0,0,0
"Legislator 1400","BDP",31,12,2,15,0.65507972240448,0.766666666666667,0.0643795877695084,0.183597967028618,0,0,0
"Legislator 1401","SP",35,2,2,21,0.847886323928833,0.933333333333333,0.500196635723114,-0.0529985129833221,0,0,0
"Legislator 1402","SP",37,5,2,16,0.779748916625977,0.883333333333333,0.306321501731873,-0.0124429110437632,0,0,0
"Legislator 1403","SP",38,1,3,18,0.848074495792389,0.933333333333333,0.394762456417084,-0.208972468972206,0,0,0
"Legislator 1404","SP",41,0,0,19,0.911948025226593,1,0.546122550964355,0.31266838312149,0,0,0
"Legislator 1405","SVP",19,5,1,35,0.755129039287567,0.9,-0.50953608751297,-0.0219962242990732,0,0,0
"Legislator 1406","glp",32,5,6,17,0.662874817848206,0.816666666666667,0.113806903362274,0.0136092184111476,0,0,0
"Legislator 1407","SVP",19,9,1,31,0.666178226470947,0.833333333333333,-0.370099872350693,-0.054565966129303,0,0,0
"Legislator 1408","CVP",14,8,3,35,0.660146415233612,0.816666666666667,-0.314727634191513,-0.387493282556534,0,0,0
"Legislator 1409","CVP",21,10,3,26,0.643564641475677,0.783333333333333,-0.266358464956284,-0.239663064479828,0,0,0
"Legislator 1410","SVP",20,6,7,27,0.645668923854828,0.783333333333333,-0.383741557598114,-0.10465083271265,0,0,0
"Legislator 1411","SP",35,2,4,19,0.821806490421295,0.9,0.392118692398071,-0.247550949454308,0,0,0
"Legislator 1412","CVP",23,9,4,24,0.628022730350494,0.783333333333333,-0.0586113147437572,-0.46044710278511,0,0,0
"Legislator 1413","FDP",16,7,3,34,0.678173243999481,0.833333333333333,-0.402208387851715,0.484940081834793,0,0,0
"Legislator 1414","SP",35,2,3,20,0.80809611082077,0.916666666666667,0.648777902126312,-0.403168827295303,0,0,0
"Legislator 1415","SVP",15,6,5,34,0.686822295188904,0.816666666666667,-0.438660711050034,-0.809563517570496,0,0,0
"Legislator 1416","FDP",22,7,14,17,0.580231845378876,0.65,-0.24096417427063,-0.407007217407227,0,0,0
"Legislator 1417","FDP",20,11,12,17,0.520797252655029,0.616666666666667,-0.24988280236721,-0.595324218273163,0,0,0
"Legislator 1418","glp",33,6,3,18,0.702678620815277,0.85,-0.0151762720197439,0.30589085817337,0,0,0
"Legislator 1419","FDP",20,5,6,29,0.62936669588089,0.816666666666667,-0.249223053455353,0.522335469722748,0,0,0
"Legislator 1420","Grüne",31,2,7,20,0.709963262081146,0.85,0.203664183616638,-0.585080206394196,0,0,0
"Legislator 1421","FDP",22,7,6,25,0.60984742641449,0.783333333333333,-0.254840582609177,0.688228189945221,0,0,0
"Legislator 1422","SP",30,3,2,25,0.776650846004486,0.916666666666667,0.211389437317848,-0.834497392177582,0,0,0
"Legislator 1423","SP",38,2,5,15,0.77018266916275,0.883333333333333,0.263833254575729,-0.107201896607876,0,0,0
"Legislator 1424","Grüne",32,5,2,21,0.749055922031403,0.883333333333333,0.358378738164902,-0.377414733171463,0,0,0
"Legislator 1425","glp",32,9,7,12,0.575617134571075,0.733333333333333,-0.0494862161576748,0.0402251854538918,0,0,0
"Legislator 1426","Grüne",29,12,2,17,0.658323585987091,0.766666666666667,0.103293642401695,-0.218162417411804,0,0,0
"Legislator 1427","SVP",26,3,14,17,0.5779949426651,0.716666666666667,-0.263119876384735,-0.499294131994247,0,0,0
"Legislator 1428","Grüne",32,7,2,19,0.660319626331329,0.85,0.214670941233635,-0.345234155654907,0,0,0
"Legislator 1429","CVP",21,7,2,30,0.657573819160461,0.85,-0.162432283163071,-0.495848953723907,0,0,0
"Legislator 1430","CVP",21,9,7,23,0.570102453231812,0.733333333333333,-0.167993709445,-0.732966601848602,0,0,0
"Legislator 1431","BDP",30,8,2,20,0.654593408107758,0.833333333333333,-0.0577002428472042,0.408581227064133,0,0,0
"Legislator 1432","SP",34,4,2,20,0.739625155925751,0.9,0.37609127163887,0.0389464758336544,0,0,0
"Legislator 1433","SP",33,2,3,22,0.842790007591248,0.916666666666667,0.500004708766937,-0.282695770263672,0,0,0
"Legislator 1434","SP",32,2,1,25,0.793775916099548,0.95,0.636061728000641,-0.560037136077881,0,0,0
"Legislator 1435","SP",38,2,3,17,0.82143497467041,0.916666666666667,0.49476233124733,-0.0521162636578083,0,0,0
"Legislator 1436","SVP",18,6,4,32,0.65210235118866,0.833333333333333,-0.428258508443832,-0.610058009624481,0,0,0
"Legislator 1437","SVP",24,3,14,19,0.589438617229462,0.716666666666667,-0.333255052566528,-0.242815017700195,0,0,0
"Legislator 1438","SVP",20,10,11,19,0.527945578098297,0.65,-0.196833625435829,0.148015737533569,0,0,0
"Legislator 1439","glp",29,7,10,14,0.539065420627594,0.716666666666667,-0.071236714720726,-0.0285776425153017,0,0,0
"Legislator 1440","CVP",21,12,9,18,0.575030505657196,0.65,-0.131650015711784,-0.991296291351318,0,0,0
"Legislator 1441","CVP",20,12,3,25,0.598340094089508,0.75,-0.0828307420015335,-0.694784104824066,0,0,0
"Legislator 1442","SP",34,2,1,23,0.877351343631744,0.95,0.75567364692688,-0.654948353767395,0,0,0
